gene_a,gene_b,score
EP300,STAT3,0.999
EP300,TP53,0.999
EP300,HIF1A,0.999
EP300,HDAC1,0.999
EP300,SMAD3,0.999
EP300,MYC,0.999
EP300,CTNNB1,0.999
P2RX3,P2RY1,0.706
P2RX3,P2RY6,0.767
P2RX3,P2RY4,0.778
P2RX3,P2RY2,0.788
P2RX3,TRPV1,0.897
P2RX3,GRIN2A,0.917
TYR,CD8A,0.709
TYR,PRKCB,0.922
TYR,PAH,0.938
TYR,TPO,0.946
TYR,MC1R,0.96
TYR,DDC,0.962
TYR,TH,0.963
TYR,MITF,0.981
TYR,PMEL,0.989
TYR,OCA2,0.989
IL37,IL1R1,0.724
IL37,IL1B,0.852
IL37,IL18RAP,0.956
IL37,SMAD3,0.98
IL1B,PECAM1,0.701
IL1B,MALT1,0.703
IL1B,PPARA,0.711
IL1B,TP53,0.718
IL1B,F3,0.719
IL1B,FAS,0.72
IL1B,FOXO1,0.723
IL1B,CD83,0.727
IL1B,CD274,0.735
IL1B,CX3CR1,0.737
IL1B,PTEN,0.738
IL1B,CCR6,0.741
IL1B,CCRL2,0.744
IL1B,CTNNB1,0.745
IL1B,SELP,0.746
IL1B,IL4R,0.746
IL1B,PTGS1,0.748
IL1B,NFE2L2,0.749
IL1B,IL23R,0.751
IL1B,CXCL12,0.755
IL1B,IL7R,0.758
IL1B,LYN,0.763
IL1B,PLAU,0.765
IL1B,HIF1A,0.771
IL1B,REL,0.772
IL1B,IL17RA,0.774
IL1B,MYC,0.778
IL1B,TNFAIP3,0.782
IL1B,NOS2,0.803
IL1B,JAK2,0.806
IL1B,PTPRC,0.807
IL1B,BCL2,0.808
IL1B,ESR1,0.82
IL1B,CCR5,0.826
IL1B,APP,0.828
IL1B,CXCR4,0.838
IL1B,IFNA1,0.849
IL1B,TNFSF11,0.854
IL1B,CD80,0.855
IL1B,PPARG,0.858
IL1B,CD86,0.863
IL1B,AKT1,0.864
IL1B,TLR7,0.865
IL1B,IKBKB,0.865
IL1B,NOD2,0.866
IL1B,CCR2,0.867
IL1B,FN1,0.869
IL1B,IL2RA,0.869
IL1B,TLR3,0.871
IL1B,MMP1,0.873
IL1B,EGFR,0.873
IL1B,CXCR1,0.879
IL1B,FOS,0.894
IL1B,IL17F,0.899
IL1B,IFNA2,0.913
IL1B,CD8A,0.922
IL1B,STAT3,0.938
IL1B,CD40,0.949
IL1B,IL13,0.953
IL1B,CCL20,0.958
IL1B,IL17A,0.962
IL1B,HMGB1,0.97
IL1B,PTGS2,0.974
IL1B,IL6R,0.975
IL1B,TLR9,0.975
IL1B,A2M,0.984
IL1B,IRAK1,0.991
IL1B,IL10,0.991
IL1B,IL6,0.996
IL1B,TNF,0.998
IL1B,IL1R1,0.999
BRD4,MED12,0.721
BRD4,TNF,0.73
BRD4,BCL2,0.732
BRD4,AFF1,0.749
BRD4,HDAC2,0.754
BRD4,CUL2,0.758
BRD4,TOP1,0.764
BRD4,PARP1,0.766
BRD4,DNMT1,0.791
BRD4,ARID1A,0.818
BRD4,STAT3,0.826
BRD4,ATRX,0.827
BRD4,EZH2,0.85
BRD4,PSIP1,0.851
BRD4,KMT2A,0.87
BRD4,TOP2A,0.87
BRD4,MYC,0.941
BRD4,HDAC1,0.954
BRD4,SMARCA4,0.957
BRD4,AR,0.969
BRD4,TP53,0.99
BIRC3,TLR3,0.708
BIRC3,BCL2,0.717
BIRC3,MAP3K1,0.735
BIRC3,REL,0.772
BIRC3,NOD2,0.825
BIRC3,MALT1,0.893
BIRC3,IKBKB,0.896
BIRC3,CD40,0.914
BIRC3,TNFAIP3,0.916
BIRC3,CYLD,0.944
BIRC3,TNF,0.964
BIRC3,TRAF1,0.999
PARP12,IFIH1,0.799
PARP12,PARP1,0.886
POLD3,BRCA1,0.723
POLD3,POLE,0.963
POLD3,POLD1,0.999
SELP,TNF,0.741
SELP,CXCL12,0.749
SELP,F2R,0.777
SELP,FN1,0.778
SELP,HMGB1,0.788
SELP,P2RY12,0.827
SELP,IL6,0.827
SELP,CD34,0.832
SELP,ANGPT2,0.849
SELP,F3,0.905
SELP,PECAM1,0.908
SELP,ITGB3,0.928
SELP,CD40,0.985
EPAS1,KLF4,0.704
EPAS1,PBX1,0.719
EPAS1,ESR1,0.724
EPAS1,MTOR,0.728
EPAS1,TP53,0.736
EPAS1,CTNNB1,0.75
EPAS1,SMAD3,0.801
EPAS1,EGFR,0.821
EPAS1,PTK6,0.828
EPAS1,MYC,0.932
EPAS1,CUL2,0.967
EPAS1,HIF1A,0.998
EPAS1,EGLN2,0.998
EPAS1,EGLN1,0.999
EPCAM,CXCR4,0.708
EPCAM,MET,0.721
EPCAM,PECAM1,0.727
EPCAM,ITGB1,0.734
EPCAM,PTPRC,0.84
EPCAM,PMS2,0.864
EPCAM,EGFR,0.923
EPCAM,ERBB2,0.927
KDR,GATA2,0.713
KDR,AKT1,0.715
KDR,NOS3,0.716
KDR,MYC,0.723
KDR,TP53,0.73
KDR,TEK,0.744
KDR,PTPRB,0.754
KDR,HIF1A,0.785
KDR,FN1,0.793
KDR,EGFR,0.805
KDR,CBL,0.805
KDR,FYN,0.807
KDR,PTPRC,0.809
KDR,MET,0.851
KDR,ITGB1,0.884
KDR,CXCL12,0.893
KDR,CD34,0.906
KDR,PDGFB,0.916
KDR,PLCG2,0.918
KDR,PTPN11,0.919
KDR,JAK2,0.926
KDR,FGF5,0.927
KDR,PIK3CD,0.928
KDR,PIK3CB,0.932
KDR,PIK3R1,0.943
KDR,JAK1,0.947
KDR,COL18A1,0.96
KDR,PIK3CA,0.975
KDR,ITGB3,0.979
KDR,ANGPT2,0.986
KDR,FLT1,0.994
KDR,CTNNB1,0.996
KDR,SRC,0.998
KDR,PGF,0.999
KDR,PECAM1,0.999
TNFRSF8,ERBB2,0.725
TNFRSF8,CD8A,0.728
TNFRSF8,CD19,0.735
TNFRSF8,PTPRC,0.736
TNFRSF8,CD2,0.778
TNFRSF8,MME,0.793
TNFRSF8,PAX5,0.795
TNFRSF8,ALK,0.835
TNFRSF8,TNF,0.858
TNFRSF8,TNFSF4,0.897
TNFRSF8,TRAF1,0.922
TNFRSF8,CD40,0.952
PIK3CA,ETV6,0.707
PIK3CA,PMS2,0.712
PIK3CA,IDH1,0.713
PIK3CA,HCK,0.723
PIK3CA,FOXO1,0.726
PIK3CA,TYK2,0.726
PIK3CA,BRCA1,0.728
PIK3CA,ROS1,0.735
PIK3CA,MYC,0.74
PIK3CA,AXL,0.743
PIK3CA,NTRK3,0.745
PIK3CA,ABL1,0.763
PIK3CA,LCK,0.777
PIK3CA,CDKN2A,0.791
PIK3CA,NF1,0.793
PIK3CA,BRCA2,0.812
PIK3CA,CSF1R,0.821
PIK3CA,FGFR4,0.837
PIK3CA,MAP2K1,0.844
PIK3CA,FBXW7,0.857
PIK3CA,STAT3,0.859
PIK3CA,CBL,0.887
PIK3CA,FLT1,0.887
PIK3CA,RET,0.891
PIK3CA,CTNNB1,0.901
PIK3CA,THRB,0.908
PIK3CA,FGFR2,0.908
PIK3CA,ARID1A,0.913
PIK3CA,ITK,0.924
PIK3CA,PIP4K2A,0.925
PIK3CA,SOS1,0.926
PIK3CA,PLCG2,0.928
PIK3CA,SYK,0.935
PIK3CA,LYN,0.935
PIK3CA,ESR1,0.941
PIK3CA,TP53,0.941
PIK3CA,BTK,0.946
PIK3CA,INSR,0.947
PIK3CA,BRAF,0.947
PIK3CA,FYN,0.951
PIK3CA,ITGB1,0.953
PIK3CA,NTRK1,0.96
PIK3CA,MET,0.961
PIK3CA,PGR,0.961
PIK3CA,MTOR,0.963
PIK3CA,FGFR3,0.965
PIK3CA,CD19,0.967
PIK3CA,JAK3,0.967
PIK3CA,JAK1,0.969
PIK3CA,ERBB4,0.97
PIK3CA,RAF1,0.972
PIK3CA,IRS4,0.972
PIK3CA,FGFR1,0.977
PIK3CA,IGF1R,0.978
PIK3CA,ALK,0.979
PIK3CA,JAK2,0.98
PIK3CA,SRC,0.984
PIK3CA,KIT,0.986
PIK3CA,PTPN11,0.99
PIK3CA,ERBB2,0.992
PIK3CA,HRAS,0.995
PIK3CA,PTEN,0.995
PIK3CA,NRAS,0.995
PIK3CA,MRAS,0.996
PIK3CA,PIK3CG,0.997
PIK3CA,PIK3CD,0.998
PIK3CA,PIK3CB,0.998
PIK3CA,AKT1,0.998
PIK3CA,EGFR,0.999
PIK3CA,PIK3R1,0.999
CBL,RET,0.706
CBL,YES1,0.709
CBL,FGFR4,0.712
CBL,NTRK1,0.715
CBL,ITK,0.72
CBL,PIK3CD,0.722
CBL,FGFR3,0.722
CBL,JAK1,0.745
CBL,TYK2,0.746
CBL,EPS15,0.766
CBL,IL6,0.771
CBL,AKT1,0.775
CBL,JAK2,0.79
CBL,PTK6,0.809
CBL,FGFR2,0.811
CBL,SOS1,0.827
CBL,PLCG2,0.843
CBL,BTK,0.851
CBL,IGF1R,0.853
CBL,ERBB4,0.861
CBL,MST1R,0.868
CBL,STAT3,0.88
CBL,PIK3CB,0.89
CBL,CTNNB1,0.91
CBL,EPHA2,0.926
CBL,INSR,0.929
CBL,HCK,0.93
CBL,FN1,0.944
CBL,ERBB2,0.944
CBL,PTPN11,0.951
CBL,KIT,0.957
CBL,TGFBR2,0.96
CBL,UBASH3A,0.961
CBL,CSF1R,0.964
CBL,BCR,0.971
CBL,LCK,0.982
CBL,LYN,0.987
CBL,ABL1,0.996
CBL,SYK,0.997
CBL,FYN,0.998
CBL,MET,0.999
CBL,SRC,0.999
CBL,EGFR,0.999
CBL,PIK3R1,0.999
TUBB4A,TUBB3,0.703
TUBB4A,TUBA3C,0.714
TUBB4A,TUBB2A,0.785
TUBB4A,TUBB4B,0.883
TUBB4A,TUBA3E,0.971
TUBB4A,TUBA1B,0.977
TUBB4A,TUBA1C,0.978
TUBB4A,TUBA1A,0.979
TUBB4A,MTOR,0.994
PPAT,TYMS,0.712
PPAT,CPS1,0.776
PPAT,IMPDH1,0.794
PPAT,GART,0.999
CD80,IL13,0.707
CD80,FCGR2A,0.711
CD80,CXCR4,0.716
CD80,IFNA1,0.722
CD80,TNFSF4,0.73
CD80,CD209,0.739
CD80,TLR9,0.74
CD80,IL3RA,0.747
CD80,TLR7,0.769
CD80,AKT1,0.777
CD80,CCR5,0.787
CD80,LCK,0.797
CD80,IL17A,0.809
CD80,STAT3,0.809
CD80,TLR3,0.812
CD80,CD19,0.819
CD80,PTPRC,0.844
CD80,IL6,0.847
CD80,CD2,0.903
CD80,TIGIT,0.906
CD80,TNF,0.908
CD80,CD83,0.914
CD80,CD8A,0.959
CD80,IL10,0.962
CD80,HAVCR2,0.972
CD80,PDCD1,0.998
CD80,CTLA4,0.999
CD80,CD86,0.999
CD80,CD274,0.999
CD80,CD40,0.999
TOP2B,SMARCA4,0.719
TOP2B,PARP1,0.724
TOP2B,AR,0.774
TOP2B,TOP2A,0.973
TOP2B,TOP1,0.981
BCHE,F2,0.706
BCHE,APP,0.727
BCHE,MAOA,0.762
BCHE,MGAM,0.776
BCHE,MAOB,0.809
STAT3,PTK6,0.707
STAT3,PDGFB,0.71
STAT3,PIK3CG,0.71
STAT3,HNF1A,0.723
STAT3,TSLP,0.725
STAT3,PTAFR,0.725
STAT3,CD19,0.726
STAT3,RUNX1,0.726
STAT3,TLR7,0.727
STAT3,FLT1,0.734
STAT3,NFE2L2,0.742
STAT3,IL7R,0.746
STAT3,IKBKB,0.749
STAT3,NOS2,0.749
STAT3,KLF4,0.75
STAT3,APP,0.753
STAT3,FGFR1OP,0.753
STAT3,CUX1,0.758
STAT3,RAF1,0.762
STAT3,GHR,0.766
STAT3,BRAF,0.773
STAT3,CXCR4,0.775
STAT3,IL21,0.777
STAT3,PLCG2,0.781
STAT3,CCL20,0.782
STAT3,CCR2,0.791
STAT3,PTEN,0.794
STAT3,FBXW7,0.794
STAT3,CSF1R,0.795
STAT3,CD86,0.806
STAT3,IL1R1,0.807
STAT3,IL27,0.807
STAT3,IL4R,0.809
STAT3,BRCA1,0.812
STAT3,ABCA1,0.815
STAT3,YAP1,0.818
STAT3,S1PR1,0.818
STAT3,CCR5,0.82
STAT3,ITGB1,0.822
STAT3,PPARG,0.826
STAT3,IL19,0.837
STAT3,CD8A,0.839
STAT3,IL13,0.843
STAT3,FGFR2,0.847
STAT3,PGR,0.858
STAT3,IL17F,0.868
STAT3,MMP1,0.869
STAT3,CDK6,0.881
STAT3,GATA3,0.883
STAT3,NTRK1,0.884
STAT3,RET,0.887
STAT3,HDAC3,0.889
STAT3,FYN,0.891
STAT3,ALK,0.893
STAT3,CTNNB1,0.897
STAT3,FHL1,0.9
STAT3,IFNAR1,0.906
STAT3,HDAC2,0.906
STAT3,AR,0.907
STAT3,CSF3R,0.907
STAT3,SMAD3,0.909
STAT3,HCK,0.911
STAT3,PIK3R1,0.918
STAT3,LEPR,0.921
STAT3,IGF1R,0.921
STAT3,MTOR,0.926
STAT3,PTGS2,0.93
STAT3,ESR1,0.93
STAT3,IL10RB,0.933
STAT3,LYN,0.938
STAT3,TNF,0.939
STAT3,PRDM1,0.942
STAT3,IL17A,0.944
STAT3,ERBB2,0.948
STAT3,DNMT1,0.957
STAT3,LCK,0.959
STAT3,BCL2,0.959
STAT3,KIT,0.96
STAT3,FOXO1,0.964
STAT3,AKT1,0.966
STAT3,IL10,0.968
STAT3,STAT4,0.973
STAT3,IRF4,0.973
STAT3,EZH2,0.973
STAT3,IL23R,0.98
STAT3,SYK,0.98
STAT3,MET,0.981
STAT3,PTPN11,0.984
STAT3,CDKN1A,0.984
STAT3,HDAC1,0.984
STAT3,IL6,0.984
STAT3,MYC,0.985
STAT3,FN1,0.988
STAT3,PTPN2,0.99
STAT3,CD274,0.992
STAT3,IL6R,0.993
STAT3,HIF1A,0.994
STAT3,TP53,0.994
STAT3,FOS,0.995
STAT3,TYK2,0.997
STAT3,EGFR,0.998
STAT3,STAT5B,0.998
STAT3,JAK3,0.998
STAT3,JAK1,0.999
STAT3,JAK2,0.999
STAT3,SRC,0.999
MECOM,SUZ12,0.772
MECOM,SMAD3,0.858
MECOM,HDAC2,0.929
MECOM,HDAC1,0.968
MECOM,RUNX1,0.988
KLKB1,F2,0.71
KLKB1,F10,0.725
KLKB1,AR,0.732
KLKB1,SERPINC1,0.767
KLKB1,F11,0.792
KLKB1,F3,0.914
KLKB1,ACPP,0.933
KLKB1,PLG,0.936
KLKB1,A2M,0.957
KLKB1,SERPING1,0.996
DNMT3A,ARID1A,0.72
DNMT3A,GATA2,0.731
DNMT3A,NRAS,0.732
DNMT3A,KMT2A,0.746
DNMT3A,ATRX,0.747
DNMT3A,RUNX1,0.777
DNMT3A,IDH2,0.793
DNMT3A,IDH1,0.797
DNMT3A,SUZ12,0.798
DNMT3A,TP53,0.835
DNMT3A,TET1,0.886
DNMT3A,H3C2,0.914
DNMT3A,H3-3A,0.931
DNMT3A,TET2,0.946
DNMT3A,SMARCA4,0.957
DNMT3A,HDAC2,0.97
DNMT3A,MYC,0.991
DNMT3A,HDAC1,0.997
DNMT3A,EZH2,0.999
DNMT3A,DNMT1,0.999
FOSL2,MAPK11,0.778
FOSL2,TRIB1,0.807
FOSL2,FOS,0.998
TP63,CDKN2A,0.741
TP63,YAP1,0.796
TP63,TP53,0.953
F13A1,FN1,0.783
F13A1,F2,0.954
PDE8B,ADCY7,0.703
PDE8B,PDE8A,0.937
SLC9A3,SLC12A3,0.727
SLC9A3,SLC5A1,0.732
SLC9A3,CA2,0.763
SLC9A3,SLC5A2,0.795
SLC9A3,SLC12A1,0.852
SLC9A3,SLC26A3,0.904
EVC,DHCR24,0.879
EVC,EVC2,0.999
TNC,FN1,0.814
TNC,ITGB3,0.914
TNC,ITGB1,0.917
LEF1,PAX5,0.739
LEF1,CBFB,0.747
LEF1,ETS1,0.75
LEF1,EBF1,0.755
LEF1,SMARCA4,0.758
LEF1,PITX2,0.776
LEF1,IKZF1,0.778
LEF1,IKZF3,0.786
LEF1,EOMES,0.787
LEF1,TCF7L2,0.791
LEF1,RUNX3,0.834
LEF1,MYB,0.856
LEF1,MITF,0.872
LEF1,YAP1,0.878
LEF1,MYC,0.893
LEF1,RUNX1,0.963
LEF1,HDAC1,0.966
LEF1,JUP,0.971
LEF1,SMAD3,0.978
LEF1,CTNNB1,0.999
NBN,RAD51B,0.729
NBN,TP53,0.763
NBN,PARP1,0.79
NBN,RAD51D,0.792
NBN,ATRX,0.796
NBN,RAD51C,0.816
NBN,FANCD2,0.858
NBN,BRCA2,0.901
NBN,BLM,0.925
NBN,CHEK2,0.935
NBN,BRCA1,0.993
NBN,ATM,0.999
NBN,RAD50,0.999
CDK6,HMGA2,0.704
CDK6,BCL2,0.712
CDK6,CTNNB1,0.752
CDK6,MYC,0.788
CDK6,PTEN,0.801
CDK6,TP53,0.808
CDK6,CBFB,0.821
CDK6,RUNX1,0.929
CDK6,CDKN1C,0.995
CDK6,RB1,0.997
CDK6,CCND3,0.999
CDK6,CDKN1A,0.999
CDK6,CDKN2B,0.999
CDK6,CDKN2A,0.999
PMS2,CHEK2,0.734
PMS2,NF1,0.745
PMS2,TGFBR2,0.751
PMS2,RAD51D,0.796
PMS2,RAD51C,0.807
PMS2,FANCD2,0.832
PMS2,BRAF,0.836
PMS2,ATM,0.886
PMS2,POLE,0.893
PMS2,MUTYH,0.904
PMS2,TP53,0.936
PMS2,BRCA2,0.947
PMS2,BRCA1,0.95
PMS2,POLD1,0.961
SLC5A1,GLP1R,0.751
SLC5A1,DPP4,0.762
SLC5A1,EGFR,0.954
CACNA1C,VAMP2,0.716
CACNA1C,OXTR,0.727
CACNA1C,RYR3,0.737
CACNA1C,CACNA1B,0.756
CACNA1C,PDE4B,0.775
CACNA1C,KCND3,0.806
CACNA1C,JPH2,0.808
CACNA1C,FKBP1A,0.856
CACNA1C,PPP1CB,0.909
CACNA1C,PRKCB,0.916
CACNA1C,HTR2C,0.918
CACNA1C,PPP3CA,0.926
CACNA1C,HTR2A,0.937
CACNA1C,ADRB2,0.937
CACNA1C,RYR1,0.945
CACNA1C,CACNA1F,0.978
CACNA1C,CALM1,0.981
CACNA1C,CACNA1D,0.981
CACNA1C,RYR2,0.981
CACNA1C,CACNA1S,0.982
PDE6H,PDE6C,0.921
CPSF6,PPIA,0.761
CPSF6,RANBP2,0.828
CPSF6,NUDT21,0.999
ITGB7,PRKCB,0.712
ITGB7,COL4A1,0.713
ITGB7,FLNC,0.844
ITGB7,ITGB1,0.913
ITGB7,SRC,0.926
ITGB7,ITGB3,0.945
ITGB7,FN1,0.985
ITGB7,ITGA4,0.999
RB1,ARID1B,0.733
RB1,PTEN,0.734
RB1,BCL11A,0.736
RB1,CUX1,0.739
RB1,SUZ12,0.744
RB1,DNMT1,0.765
RB1,PGR,0.782
RB1,ARID1A,0.786
RB1,CDKN1C,0.796
RB1,MORF4L1,0.807
RB1,LMNA,0.817
RB1,RAF1,0.824
RB1,CDKN2A,0.843
RB1,HDAC3,0.848
RB1,BRCA1,0.858
RB1,EZH2,0.861
RB1,CDKN1A,0.876
RB1,AR,0.878
RB1,MYC,0.888
RB1,TP53,0.936
RB1,PPP1CB,0.953
RB1,SMARCA4,0.979
RB1,ABL1,0.98
RB1,HDAC2,0.986
RB1,CCND3,0.989
RB1,HDAC1,0.999
SSTR1,SSTR5,0.753
CYP11A1,TSPO,0.786
CYP11A1,FSHR,0.822
CYP11A1,LIPA,0.833
CYP11A1,SOAT1,0.853
CYP11A1,LHCGR,0.865
CYP11A1,DHCR24,0.877
CYP11A1,MC2R,0.895
CYP11A1,CYP17A1,0.965
CYP11A1,HSD3B2,0.994
NCOR1,RARB,0.705
NCOR1,APP,0.711
NCOR1,ANGPTL4,0.715
NCOR1,KDM6A,0.721
NCOR1,SUZ12,0.75
NCOR1,ETV6,0.757
NCOR1,MED12,0.759
NCOR1,RARG,0.776
NCOR1,HDAC6,0.782
NCOR1,EZH2,0.812
NCOR1,SMARCA4,0.82
NCOR1,RUNX1,0.849
NCOR1,TP53,0.853
NCOR1,ERBB4,0.877
NCOR1,DNMT1,0.899
NCOR1,SMAD3,0.923
NCOR1,ESR2,0.97
NCOR1,PPARD,0.974
NCOR1,RXRA,0.977
NCOR1,THRB,0.982
NCOR1,NR1H4,0.983
NCOR1,AR,0.991
NCOR1,PPARA,0.991
NCOR1,PGR,0.993
NCOR1,HDAC2,0.994
NCOR1,NCOR2,0.998
NCOR1,PPARG,0.999
NCOR1,HDAC1,0.999
NCOR1,HDAC3,0.999
NCOR1,ESR1,0.999
GATA6,TBX5,0.766
GATA6,HNF1A,0.77
GATA6,TBX20,0.817
GATA6,NKX2-5,0.866
TP53,CD34,0.7
TP53,CDKN1C,0.701
TP53,THRB,0.705
TP53,DHCR24,0.706
TP53,TNFAIP3,0.708
TP53,TUBB2A,0.709
TP53,RAD50,0.709
TP53,KDM6A,0.71
TP53,SET,0.714
TP53,APP,0.714
TP53,SMN1,0.714
TP53,CYLD,0.717
TP53,FGFR3,0.718
TP53,REST,0.718
TP53,MEN1,0.72
TP53,YAP1,0.721
TP53,TUBB,0.723
TP53,GATA3,0.724
TP53,ERBB4,0.726
TP53,JAK2,0.728
TP53,STAT5B,0.728
TP53,DMD,0.73
TP53,CSNK1E,0.735
TP53,FBXO11,0.736
TP53,LATS2,0.738
TP53,HDAC3,0.741
TP53,MUTYH,0.746
TP53,DCAF1,0.751
TP53,TET2,0.755
TP53,IL10,0.756
TP53,KMT2A,0.757
TP53,MYB,0.77
TP53,CD8A,0.77
TP53,ALK,0.772
TP53,JAK1,0.774
TP53,TYMS,0.774
TP53,CD274,0.776
TP53,IL6,0.777
TP53,NFE2L2,0.78
TP53,ESR2,0.783
TP53,IDH2,0.783
TP53,DHFR,0.785
TP53,SUZ12,0.791
TP53,RET,0.801
TP53,MET,0.804
TP53,KEAP1,0.81
TP53,EWSR1,0.81
TP53,RANBP2,0.812
TP53,PARK7,0.814
TP53,KIT,0.816
TP53,RUNX1,0.82
TP53,HSPA1L,0.826
TP53,EEF2,0.828
TP53,REL,0.831
TP53,TOP2A,0.843
TP53,SETD2,0.845
TP53,IDH1,0.845
TP53,PGR,0.849
TP53,IGF1R,0.853
TP53,PIK3R1,0.853
TP53,CDKN2B,0.86
TP53,PADI4,0.861
TP53,TNF,0.865
TP53,MAP3K1,0.866
TP53,HMGA2,0.867
TP53,BCL2L11,0.867
TP53,PRDM1,0.87
TP53,MTOR,0.874
TP53,NRAS,0.876
TP53,FAS,0.877
TP53,H3C2,0.879
TP53,NF1,0.88
TP53,PPM1D,0.883
TP53,SRC,0.884
TP53,FOXO1,0.886
TP53,BRAF,0.887
TP53,EZH2,0.899
TP53,TERT,0.902
TP53,AR,0.905
TP53,ABL1,0.909
TP53,HRAS,0.925
TP53,KLF4,0.925
TP53,CTNNB1,0.927
TP53,BLM,0.932
TP53,IKBKB,0.933
TP53,ERBB2,0.935
TP53,RUNX3,0.936
TP53,EGFR,0.943
TP53,TOP1,0.947
TP53,PPARG,0.949
TP53,FOS,0.952
TP53,XPO1,0.959
TP53,FBXW7,0.96
TP53,MAPK11,0.96
TP53,ARID1A,0.961
TP53,SCO2,0.961
TP53,SMAD3,0.963
TP53,PARP1,0.972
TP53,ETS1,0.972
TP53,PTGS2,0.974
TP53,ATRX,0.981
TP53,WT1,0.983
TP53,HDAC2,0.99
TP53,ESR1,0.992
TP53,SMARCA4,0.993
TP53,AKT1,0.994
TP53,BRCA2,0.995
TP53,DROSHA,0.996
TP53,DNMT1,0.997
TP53,MYC,0.997
TP53,HMGB1,0.997
TP53,BAK1,0.997
TP53,HIF1A,0.999
TP53,HDAC1,0.999
TP53,ATM,0.999
TP53,MDM4,0.999
TP53,CHEK2,0.999
TP53,BCL2,0.999
TP53,BRCA1,0.999
TP53,CDKN1A,0.999
TP53,CDKN2A,0.999
TP53,PTEN,0.999
ERBB2,PIK3CG,0.704
ERBB2,NTRK2,0.704
ERBB2,MST1R,0.713
ERBB2,FBXW7,0.716
ERBB2,JUP,0.717
ERBB2,NTRK3,0.717
ERBB2,ESR2,0.717
ERBB2,CD8A,0.72
ERBB2,FN1,0.724
ERBB2,MTOR,0.725
ERBB2,CXCR4,0.729
ERBB2,ABL1,0.731
ERBB2,TACSTD2,0.732
ERBB2,FGFR1,0.737
ERBB2,PARP1,0.741
ERBB2,FGFR2,0.744
ERBB2,RET,0.745
ERBB2,ATM,0.748
ERBB2,NTRK1,0.751
ERBB2,ANGPT2,0.752
ERBB2,IL6,0.752
ERBB2,AXL,0.763
ERBB2,FGFR3,0.765
ERBB2,PGF,0.77
ERBB2,PDGFB,0.771
ERBB2,NF1,0.771
ERBB2,CDKN2A,0.773
ERBB2,ALK,0.775
ERBB2,AR,0.788
ERBB2,CD274,0.798
ERBB2,SOS1,0.804
ERBB2,FYN,0.807
ERBB2,CYP19A1,0.809
ERBB2,FGF5,0.816
ERBB2,ITGB1,0.821
ERBB2,ADRB2,0.822
ERBB2,PTGS2,0.828
ERBB2,FGFR4,0.829
ERBB2,EPHA2,0.834
ERBB2,PTK6,0.838
ERBB2,MET,0.847
ERBB2,BCL2,0.849
ERBB2,INSR,0.853
ERBB2,PTEN,0.868
ERBB2,BRCA2,0.873
ERBB2,OSMR,0.874
ERBB2,MYC,0.886
ERBB2,NRAS,0.904
ERBB2,HRAS,0.907
ERBB2,BRCA1,0.918
ERBB2,PIK3CD,0.941
ERBB2,JAK3,0.951
ERBB2,JAK1,0.959
ERBB2,JAK2,0.966
ERBB2,PTPN11,0.971
ERBB2,PIK3CB,0.972
ERBB2,ESR1,0.976
ERBB2,PLCG2,0.979
ERBB2,PGR,0.98
ERBB2,IGF1R,0.993
ERBB2,PIK3R1,0.995
ERBB2,CTNNB1,0.998
ERBB2,ERBB4,0.999
ERBB2,NRG1,0.999
ERBB2,EGFR,0.999
ERBB2,SRC,0.999
IFNAR1,TSLP,0.712
IFNAR1,TLR7,0.738
IFNAR1,TLR3,0.747
IFNAR1,IL21,0.762
IFNAR1,GART,0.762
IFNAR1,IL13,0.768
IFNAR1,IFIH1,0.779
IFNAR1,IFNGR2,0.817
IFNAR1,STAT4,0.862
IFNAR1,IL6,0.872
IFNAR1,IL10,0.908
IFNAR1,AXL,0.925
IFNAR1,JAK3,0.933
IFNAR1,JAK2,0.965
IFNAR1,IFNA17,0.994
IFNAR1,IFNA2,0.999
IFNAR1,TYK2,0.999
IFNAR1,IFNAR2,0.999
IFNAR1,JAK1,0.999
IFNAR1,IFNA1,0.999
SLC6A3,OPRM1,0.704
SLC6A3,HTR2A,0.708
SLC6A3,HTR1B,0.748
SLC6A3,DRD3,0.784
SLC6A3,HTR1A,0.792
SLC6A3,DDC,0.862
SLC6A3,MAOB,0.882
SLC6A3,MAOA,0.89
SLC6A3,DRD1,0.906
SLC6A3,PRKCB,0.917
SLC6A3,COMT,0.917
SLC6A3,TH,0.95
SLC6A3,SLC18A2,0.966
SLC6A3,SNCA,0.996
SLC6A3,DRD2,0.999
PRDM16,SETBP1,0.7
PRDM16,ADRB3,0.741
PRDM16,CHD7,0.78
PRDM16,PPARA,0.78
PRDM16,PPARG,0.996
CELSR2,PCSK9,0.799
CELSR2,PSRC1,0.986
FCGR2A,CD209,0.708
FCGR2A,TNF,0.719
FCGR2A,C5AR1,0.719
FCGR2A,PLCG2,0.728
FCGR2A,PIK3R1,0.753
FCGR2A,TLR9,0.756
FCGR2A,CD19,0.768
FCGR2A,CD8A,0.78
FCGR2A,CD86,0.788
FCGR2A,FCGRT,0.871
FCGR2A,PTPRC,0.886
FCGR2A,HCK,0.952
FCGR2A,LYN,0.962
FCGR2A,SRC,0.963
FCGR2A,SYK,0.995
REN,TNF,0.703
REN,DPP4,0.705
REN,AVPR2,0.713
REN,NOS3,0.724
REN,IL6,0.735
